Все слова - 101312: 
понятие : 17 : понятие
предлагаюсь : 20 : предлагается
рассматривать : 21 : рассматривать
в : 12 : в
качество : 17 : качестве
имя : 17 : имени
соответствующий : 22 : соответствующей
тема : 17 : темы
документ : 17 : документа
статистический : 18 : статистические
данные : 17 : данные
о : 12 : о
связь : 17 : связях
понятие : 17 : понятий
в : 12 : в
текст : 17 : тексте
и : 13 : и
синтаксический : 18 : синтаксических
роль : 17 : ролях
понятие : 17 : понятий
в : 12 : во
фраза : 17 : фразах
позволяю : 20 : позволяют
оценить : 21 : оценить
их : 31 : их
вклад : 17 : вклад
в : 12 : в
общий : 18 : общее
содержание : 17 : содержание
документ : 17 : документа
и : 13 : и
такой : 18 : таким
образ : 17 : образом
ранжировать : 21 : ранжировать
тема : 17 : темы
по : 12 : по
информативность : 17 : информативности
в : 12 : в
итог : 17 : итоге
каждый : 18 : каждой
тема : 17 : теме
семантический : 18 : семантической
сеть : 17 : сети
присваиваюсь : 20 : присваивается
так : 13 : так
называемый : 22 : называемый
тематический : 18 : тематический
вес : 17 : вес
значение : 17 : значение
тематический : 18 : тематического
вес : 17 : веса
равный : 18 : равное
100 : 28 : 100
соответствую : 20 : соответствует
ключевой : 18 : ключевой
важнейший : 18 : важнейшей
тема : 17 : теме
документ : 17 : документа
близкий : 18 : близкое
к : 12 : к
нуль : 17 : нулю
значение : 17 : значение
вес : 17 : веса
тема : 17 : темы
показываю : 20 : показывает
что : 13 : что
она : 31 : она
лишь : 13 : лишь
вскользь : 9 : вскользь
упомянут : 23 : упомянута
в : 12 : в
текст : 17 : тексте
и : 13 : и
в : 12 : в
нем : 19 : нем
мал : 19 : мало
сведение : 17 : сведений
относящийся : 22 : относящихся
к : 12 : к
данна : 17 : данной
тема : 17 : теме
между : 12 : между
пар : 17 : парами
тем : 13 : тем
в : 12 : в
свой : 31 : свою
очередь : 17 : очередь
также : 14 : также
имею : 20 : имеют
характеристика : 17 : характеристики
вес : 17 : веса
связь : 17 : связей
от : 12 : от
0 : 28 : 0
до : 12 : до
100 : 28 : 100
большой : 18 : большое
значение : 17 : значение
вес : 17 : веса
связь : 17 : связи
от : 12 : от
один : 18 : одной
тема : 17 : темы
к : 12 : к
другой : 18 : другой
близкий : 18 : близкое
к : 12 : к
100 : 28 : 100
указываю : 20 : указывает
на : 12 : на
то : 13 : то
что : 13 : что
подавляющий : 22 : подавляющая
часть : 17 : часть
информация : 17 : информации
в : 12 : в
текст : 17 : тексте
касающийся : 22 : касающаяся
первый : 18 : первой
касаюсь : 20 : касается
в : 12 : в
тоже : 14 : тоже
время : 17 : время
и : 13 : и
втора : 17 : второй
тема : 17 : темы
первый : 18 : первая
тема : 17 : тема
почёл : 20 : почти
всегда : 9 : всегда
излагаюсь : 20 : излагается
в : 12 : в
контекст : 17 : контексте
втора : 17 : второй
малое : 17 : малое
значение : 17 : значение
вес : 17 : веса
отражаю : 20 : отражает
тот : 31 : тот
факт : 17 : факт
что : 13 : что
первый : 18 : первая
тема : 17 : тема
слабо : 9 : слабо
связан : 23 : связана
с : 12 : со
втора : 17 : второй
излагаюсь : 20 : излагается
независимо : 9 : независимо
от : 12 : от
нея : 17 : нее
связь : 17 : связь
между : 12 : между
пара : 17 : парой
тем : 13 : тем
сеть : 17 : сети
всегда : 9 : всегда
двусторонний : 18 : двусторонняя
однако : 15 : однако
связь : 17 : связь
от : 12 : от
первый : 18 : первой
тема : 17 : темы
к : 12 : ко
втора : 17 : второй
не : 14 : не
всегда : 9 : всегда
имею : 20 : имеет
тот : 31 : тот
же : 13 : же
самый : 18 : самый
вес : 17 : вес
что : 13 : что
и : 13 : и
обратный : 18 : обратная
от : 12 : от
втора : 17 : второй
к : 12 : к
первый : 18 : первой
такой : 18 : такое
различие : 17 : различие
в : 12 : в
вес : 17 : весах
может : 13 : может
указывать : 21 : указывать
на : 12 : на
то : 13 : то
что : 13 : что
один : 18 : одна
тема : 17 : тема
являюсь : 20 : является
другой : 18 : другой
сеть : 17 : сеть
представляю : 20 : представляет
себя : 31 : собой
тематический : 18 : тематический
индекс : 17 : индекс
анализируемый : 22 : анализируемых
текст : 17 : текстов
который : 31 : который
используюсь : 20 : используется
для : 25 : для
поиск : 17 : поиска
документ : 17 : документов
по : 12 : по
тема : 17 : темам
и : 13 : и
их : 31 : их
связь : 17 : связям
а : 13 : а
также : 14 : также
для : 25 : для
расширение : 17 : расширения
запрос : 17 : запроса
ассоциативен : 19 : ассоциативно
связанный : 18 : связанными
тема : 17 : темами
по : 12 : по
каждый : 18 : каждой
из : 12 : из
тем : 13 : тем
сеть : 17 : сети
формируюсь : 20 : формируется
набор : 17 : набор
предложение : 17 : предложений
текст : 17 : текста
цитата : 17 : цитат
относящийся : 22 : относящихся
к : 12 : к
соответствующий : 22 : соответствующей
тема : 17 : теме
который : 31 : которые
представляю : 20 : представляют
тематический : 18 : тематическое
резюме : 17 : резюме
реферат : 17 : реферат
текст : 17 : текста
кроме : 12 : кроме
того : 17 : того
выполняюсь : 20 : выполняется
ранжирование : 17 : ранжирование
этот : 31 : этих
предложение : 17 : предложений
по : 12 : по
вес : 17 : весам
от : 12 : от
0 : 28 : 0
до : 12 : до
100 : 28 : 100
который : 31 : которые
отражаю : 20 : отражают
их : 31 : их
информативность : 17 : информативность
для : 25 : для
соответствующий : 22 : соответствующей
тема : 17 : темы
и : 13 : и
позволяю : 20 : позволяют
выбрать : 21 : выбрать
в : 12 : в
резюме : 17 : резюме
лишь : 13 : лишь
наиболее : 9 : наиболее
информативный : 18 : информативные
предложение : 17 : предложения
общий : 18 : общее
резюме : 17 : резюме
текст : 17 : текста
формируюсь : 20 : формируется
из : 12 : из
наиболее : 9 : наиболее
информативный : 18 : информативных
фрагмент : 17 : фрагментов
по : 12 : по
ключевой : 18 : ключевым
тема : 17 : темам
документ : 17 : документа
ассоциативный : 18 : ассоциативных
связь : 17 : связей
позволяю : 20 : позволяет
выявить : 21 : выявить
скрытый : 18 : скрытые
зависимость : 17 : зависимости
между : 12 : между
интересующий : 22 : интересующими
аналитик : 17 : аналитика
событие : 17 : событиями
персоналия : 17 : персоналиями
организация : 17 : организациями
и : 13 : и
так : 13 : т
п : 17 : п
анализ : 17 : анализе
текст : 17 : текста
можно : 11 : можно
воспользоваться : 21 : воспользоваться
семантический : 18 : семантической
сеть : 17 : сетью
построенный : 22 : построенной
на : 12 : на
баз : 17 : базе
другой : 18 : других
текст : 17 : текстов
эталонный : 18 : эталонных
либо : 13 : либо
заданный : 18 : заданной
вручную : 9 : вручную
эксперт : 17 : экспертом
например : 13 : например
если : 13 : если
имеюсь : 20 : имеется
семантический : 18 : семантическая
сеть : 17 : сеть
представляющий : 22 : представляющая
известный : 18 : известную
модель : 17 : модель
предметный : 18 : предметной
область : 17 : области
то : 13 : то
можно : 11 : можно
использовать : 21 : использовать
для : 25 : для
фильтрация : 17 : фильтрации
информация : 17 : информации
в : 12 : в
новостной : 18 : новостном
поток : 17 : потоке
вылавливая : 25 : вылавливая
в : 12 : в
текст : 17 : тексте
упоминание : 17 : упоминания
о : 12 : об
известный : 18 : известных
объект : 17 : объектах
и : 13 : и
находя : 25 : находя
подкрепление : 17 : подкрепления
известный : 18 : известных
взаимосвязь : 17 : взаимосвязей
а : 13 : а
также : 14 : также
искать : 21 : искать
новое : 17 : новые
связь : 17 : связи
между : 12 : между
заданный : 18 : заданными
объект : 17 : объектами
с : 12 : с
семантический : 18 : семантической
сеть : 17 : сетью
может : 13 : может
помочь : 17 : помочь
аналитик : 17 : аналитику
в : 12 : в
решение : 17 : решении
следующий : 22 : следующих
задача : 17 : задач
тематический : 18 : тематического
состав : 17 : состава
целевой : 18 : целевой
коллекция : 17 : коллекции
документ : 17 : документов
например : 13 : например
новостной : 18 : новостного
поток : 17 : потока
за : 12 : за
выбранный : 22 : выбранный
интервал : 17 : интервал
временю : 20 : времени
выявление : 17 : выявление
ключевой : 18 : ключевых
тем : 13 : тем
и : 13 : и
их : 31 : их
связной : 18 : связных
скопление : 17 : скоплений
семантический : 18 : семантических
поле : 17 : полей
находящийся : 22 : находящихся
в : 12 : в
фокус : 17 : фокусе
внимание : 17 : внимания
и : 13 : и
влияющий : 22 : влияющих
на : 12 : на
развитие : 17 : развитие
ситуация : 17 : ситуации
мониторинг : 17 : мониторинг
динамик : 17 : динамики
информационный : 18 : информационного
поток : 17 : потока
в : 12 : во
временю : 20 : времени
в : 12 : в
термин : 17 : терминах
мощность : 17 : мощности
ключевой : 18 : ключевых
тем : 13 : тем
и : 13 : и
их : 31 : их
связь : 17 : связей
новый : 18 : новой
неожиданный : 18 : неожиданной
информация : 17 : информации
связанный : 18 : связанной
с : 12 : с
исследуемый : 22 : исследуемым
интерес : 17 : интерес
для : 25 : для
эксперт : 17 : эксперта
могу : 20 : могут
представлять : 21 : представлять
скрытый : 18 : скрытые
в : 12 : в
документ : 17 : документах
связь : 17 : связи
с : 12 : с
другой : 18 : другими
объект : 17 : объектами
персона : 17 : персонами
организация : 17 : организациями
событие : 17 : событиями
выявленный : 22 : выявленные
в : 12 : в
семантический : 18 : семантической
сеть : 17 : сети
а : 13 : а
также : 14 : также
ассоциативный : 18 : ассоциативные
цепочка : 17 : цепочки
связывающий : 22 : связывающие
заданный : 18 : заданные
объект : 17 : объекты
в : 12 : в
документ : 17 : документах
подкрепление : 17 : подкреплений
известный : 18 : известных
и : 13 : и
неизвестный : 18 : неизвестных
связь : 17 : связей
между : 12 : между
поиск : 17 : поиск
конкретный : 18 : конкретных
документ : 17 : документов
раскрывающий : 22 : раскрывающих
интересующий : 22 : интересующие
связь : 17 : связи
позволяю : 20 : позволяет
эксперт : 17 : эксперту
получить : 21 : получить
детальный : 18 : детальное
представление : 17 : представление
о : 12 : о
характер : 17 : характере
отношение : 17 : отношений
между : 12 : между
объект : 17 : объектами
средство : 17 : средства
визуализация : 17 : визуализации
семантический : 18 : семантических
сеть : 17 : сетей
позволяю : 20 : позволяют
графический : 18 : графическое
отображение : 17 : отображение
различный : 18 : различных
фрагмент : 17 : фрагментов
сеть : 17 : сети
на : 12 : на
плоскость : 17 : плоскости
вычисляя : 25 : вычисляя
оптимальный : 18 : оптимальное
для : 25 : для
зрительный : 18 : зрительного
восприятие : 17 : восприятия
расположение : 17 : расположение
тем : 13 : тем
и : 13 : и
связь : 17 : связей
параметр : 17 : параметры
отображение : 17 : отображения
настраиваем : 23 : настраиваемы
количество : 17 : количество
отображаемый : 22 : отображаемых
тем : 13 : тем
масштаб : 17 : масштаб
цвет : 17 : цвета
и : 13 : и
отображать : 21 : отображать
интересующий : 22 : интересующие
фрагмент : 17 : фрагменты
сеть : 17 : сети
как : 13 : как
то : 13 : то
тема : 17 : темы
связанный : 18 : связанные
с : 12 : с
запрос : 17 : запросом
на : 12 : на
естественный : 18 : естественном
язык : 17 : языке
тема : 17 : темы
связанный : 18 : связанные
с : 12 : с
выбранный : 22 : выбранной
в : 12 : в
сеть : 17 : сети
тема : 17 : темой
цепочка : 17 : цепочки
тем : 13 : тем
связывающий : 22 : связывающие
пар : 17 : пару
заданный : 18 : заданных
тем : 13 : тем
кратчайший : 18 : кратчайшими
ассоциативный : 18 : ассоциативными
путь : 17 : путями
тема : 17 : темы
и : 13 : и
связь : 17 : связи
из : 12 : из
заданный : 18 : заданных
весовой : 18 : весовых
интервал : 17 : интервалов
значимый : 18 : значимые
тема : 17 : темы
и : 13 : и
связь : 17 : связи
менять : 21 : менять
модель : 17 : модель
предметный : 18 : предметной
область : 17 : области
выделяя : 25 : выделяя
на : 12 : на
сформированный : 22 : сформированной
сеть : 17 : сети
интересующий : 22 : интересующие
понятие : 17 : понятия
и : 13 : и
связь : 17 : связи
документ : 17 : документы
по : 12 : по
тема : 17 : темам
и : 13 : и
связь : 17 : связям
выдавать : 21 : выдавать
их : 31 : их
общий : 18 : общие
и : 13 : и
тематический : 18 : тематические
реферат : 17 : рефераты
программный : 18 : программные
приложение : 17 : приложения
ориентирован : 23 : ориентированы
на : 12 : на
технология : 17 : технологию
и : 13 : и
обеспечиваю : 20 : обеспечивают
построение : 17 : построение
семантический : 18 : семантических
сеть : 17 : сетей
на : 12 : на
сервер : 17 : сервере
с : 12 : с
возможность : 17 : возможностью
многопользовательский : 18 : многопользовательской
работа : 17 : работы
эксперт : 17 : экспертов
через : 12 : через
на : 12 : на
клиентский : 18 : клиентских
рабочий : 17 : рабочих
место : 17 : местах
работа : 17 : работу
с : 12 : с
семантический : 18 : семантической
сеть : 17 : сетью
на : 12 : на
баз : 17 : базе
небольшой : 18 : небольшой
выборка : 17 : выборки
из : 12 : из
тысяча : 17 : тысячи
русскоязычный : 18 : русскоязычных
документ : 17 : документов
информационный : 18 : информационной
система : 17 : системы
по : 12 : по
материал : 17 : материалам
периодический : 18 : периодической
печать : 17 : печати
с : 12 : с
анализ : 17 : анализа
содержание : 17 : содержания
выборка : 17 : выборки
документ : 17 : документов
в : 12 : в
целое : 17 : целом
рисунок : 17 : рисунке
1 : 28 : 1
приведён : 23 : приведено
изображение : 17 : изображение
основной : 18 : основных
тем : 13 : тем
и : 13 : и
связь : 17 : связей
выявленный : 22 : выявленных
в : 12 : в
текст : 17 : тексте
выборка : 17 : выборки
на : 12 : на
изображение : 17 : изображении
сеть : 17 : сети
радиус : 17 : радиус
пропорционален : 19 : пропорционален
количество : 17 : количеству
документ : 17 : документов
по : 12 : по
тема : 17 : теме
яркость : 17 : яркость
связь : 17 : связи
отражаю : 20 : отражает
сила : 17 : силу
ассоциация : 17 : ассоциации
а : 13 : а
яркость : 17 : яркость
релевантность : 17 : релевантность
запрос : 17 : запросу
смотрю : 20 : см
следующий : 22 : следующие
пример : 17 : примеры
видно : 13 : видно
в : 12 : в
коллекция : 17 : коллекции
документ : 17 : документов
особо : 9 : особо
выделяюсь : 20 : выделяются
тру : 20 : три
тематический : 18 : тематических
скопление : 17 : скопления
именно : 14 : именно
этот : 31 : этой
тематика : 17 : тематике
посвящён : 23 : посвящено
содержание : 17 : содержание
большинство : 17 : большинства
документ : 17 : документов
1 : 28 : 1
главное : 17 : главные
тема : 17 : темы
семантический : 18 : семантической
сеть : 17 : сети
заинтересовавший : 22 : заинтересовавшую
семантический : 18 : семантическую
область : 17 : область
связанный : 18 : связанную
например : 13 : например
с : 12 : с
убийство : 17 : убийствами
соответствующий : 22 : соответствующий
фрагмент : 17 : фрагмент
сеть : 17 : сети
окружающий : 22 : окружающий
тема : 17 : тему
на : 12 : на
рисунок : 17 : рисунке
2 : 28 : 2
2 : 28 : 2
ближайший : 18 : ближайшее
семантический : 18 : семантическое
окружение : 17 : окружение
тема : 17 : темы
интересный : 18 : интересную
связь : 17 : связь
связанный : 18 : связанную
с : 12 : с
военный : 17 : военными
убийство : 17 : убийствами
для : 25 : для
чего : 9 : чего
получил : 20 : получим
документ : 17 : документы
по : 12 : по
связь : 17 : связи
найденный : 22 : найденные
система : 17 : системой
документ : 17 : документы
ношу : 20 : носят
название : 17 : названия
укравший : 22 : укравший
тонна : 17 : тонну
рис : 17 : риса
убил : 20 : убил
задержан : 23 : задержан
солдат : 17 : солдат
расстрелявший : 22 : расстрелявший
двое : 29 : двоих
связь : 17 : связи
единственный : 18 : единственный
документ : 17 : документ
москва : 17 : москве
возобновился : 20 : возобновился
отстрел : 17 : отстрел
очевидный : 18 : очевидные
связь : 17 : связи
с : 12 : с
тема : 17 : темами
привожу : 20 : приводят
к : 12 : к
множество : 17 : множеству
документ : 17 : документов
представляющий : 22 : представляющих
суточные : 17 : суточные
криминальный : 18 : криминальные
сводка : 17 : сводки
тип : 17 : типа
в : 12 : в
подмосковье : 17 : подмосковье
весь : 18 : все
убийство : 17 : убийства
удался : 20 : удалось
пятьдесят : 28 : пятьдесят
четыре : 28 : четыре
уголовный : 17 : уголовных
дело : 17 : дела
возбуждён : 23 : возбуждено
вчера : 9 : вчера
в : 12 : в
и : 13 : и
так : 13 : т
п : 17 : п
для : 25 : для
пример : 17 : примера
выбрал : 20 : выберем
некоторый : 18 : некоторую
персона : 17 : персону
например : 13 : например
результат : 17 : результат
поиск : 17 : поиска
по : 12 : по
соответствующий : 22 : соответствующему
запрос : 17 : запросу
на : 12 : на
рисунок : 17 : рисунке
3 : 28 : 3
как : 13 : как
видно : 13 : видно
в : 12 : в
исследуемый : 22 : исследуемых
документ : 17 : документах
заданный : 18 : заданная
персона : 17 : персона
ассоциируюсь : 20 : ассоциируется
с : 12 : с
ряд : 17 : рядом
объект : 17 : объектов
и : 13 : и
субъект : 17 : субъектов
политический : 18 : политической
сфера : 17 : сферы
3 : 28 : 3
ассоциативный : 18 : ассоциативные
связь : 17 : связи
тема : 17 : темы
связь : 17 : связи
нахожусь : 20 : находится
пар : 17 : пара
документ : 17 : документов
жириновский : 17 : жириновский
считаю : 20 : считает
желательный : 18 : желательной
военный : 18 : военную
помощь : 17 : помощь
россия : 17 : россии
и : 13 : и
готовлю : 20 : готовит
обращение : 17 : обращение
к : 12 : к
президент : 17 : президенту
о : 12 : о
назначение : 17 : назначении
владимир : 17 : владимира
жириновский : 17 : жириновского
министр : 17 : министром
иностранный : 18 : иностранных
есть : 20 : суть
связь : 17 : связи
жириновский : 17 : жириновского
с : 12 : с
ирак : 17 : ираком
в : 12 : во
второе : 17 : втором
документ : 17 : документе
с : 12 : с
очевидность : 17 : очевидностью
раскрываю : 20 : раскрывает
его : 31 : его
реферат : 17 : реферат
построенный : 22 : построенный
система : 17 : системой
заявил : 20 : заявил
константин : 17 : константин
боровой : 17 : боровой
жириновский : 17 : жириновский
более : 9 : более
последовательно : 9 : последовательно
чем : 13 : чем
нынешний : 18 : нынешний
министр : 17 : министр
евгений : 17 : евгений
примак : 17 : примаков
провожу : 20 : проводит
внешнеполитический : 18 : внешнеполитическую
концепция : 17 : концепцию
российский : 18 : российского
руководство : 17 : руководства
в : 12 : в
частность : 17 : частности
в : 12 : в
связь : 17 : связи
с : 12 : с
событие : 17 : событиями
вокруг : 9 : вокруг
ирак : 17 : ирака
о : 12 : об
участие : 17 : участии
жириновский : 17 : жириновского
в : 12 : в
можно : 11 : можно
получить : 21 : получить
запросив : 25 : запросив
документ : 17 : документы
по : 12 : по
соответствующий : 22 : соответствующей
связь : 17 : связи
для : 25 : для
найденный : 22 : найденного
документ : 17 : документа
жириновский : 17 : жириновский
есть : 20 : будет
голосовать : 21 : голосовать
за : 12 : за
импичмент : 17 : импичмент
строюсь : 20 : строится
сегодняшний : 18 : сегодняшней
пресс-конференция : 17 : пресс-конференции
в : 12 : в
госдума : 17 : госдуме
лидер : 17 : лидер
лдпр : 17 : лдпр
владимир : 17 : владимир
жириновский : 17 : жириновский
заявил : 20 : заявил
что : 13 : что
выступаю : 20 : выступает
за : 12 : за
смена : 17 : смену
правительственный : 18 : правительственного
курс : 17 : курса
а : 13 : а
также : 14 : также
сам : 18 : самого
правительство : 17 : правительства
и : 13 : и
президент : 17 : президента
на : 12 : на
свой : 31 : своей
пресс-конференция : 17 : пресс-конференции
жириновский : 17 : жириновский
заявил : 20 : заявил
также : 14 : также
что : 13 : что
в : 12 : в
случай : 17 : случае
приход : 17 : прихода
лдпр : 17 : лдпр
к : 12 : к
власть : 17 : власти
демократ : 17 : демократы
есть : 20 : будут
привлечён : 23 : привлечены
к : 12 : к
уголовный : 18 : уголовной
пример : 17 : пример
поиск : 17 : поиска
скрытый : 18 : скрытых
взаимосвязь : 17 : взаимосвязей
например : 13 : например
между : 12 : между
тема : 17 : темами
и : 13 : и
4 : 28 : 4
поиск : 17 : поиск
ассоциативный : 18 : ассоциативных
цепочка : 17 : цепочек
связывающий : 22 : связывающих
тема : 17 : темы
и : 13 : и
рисунок : 17 : рисунке
4 : 28 : 4
представлен : 23 : представлена
пар : 17 : пара
наиболее : 9 : наиболее
сильный : 18 : сильных
ассоциативный : 18 : ассоциативных
цепочка : 17 : цепочек
между : 12 : между
заданный : 18 : заданными
тема : 17 : темами
найденный : 22 : найденная
система : 17 : системой
из : 12 : из
цепочка : 17 : цепочек
проходящий : 22 : проходящая
через : 12 : через
оказываюсь : 20 : оказывается
адекватный : 18 : адекватной
и : 13 : и
подкрепляюсь : 20 : подкрепляется
в : 12 : в
найденный : 22 : найденном
документ : 17 : документе
столица : 17 : столицу
на : 12 : на
реализация : 17 : реализацию
пытаюсь : 20 : пытались
провезти : 21 : провезти
около : 9 : около
килограмм : 17 : килограммов
предложение : 17 : предложением
брянский : 18 : брянской
таможня : 17 : таможне
у : 12 : у
гражданин : 17 : гражданина
украина : 17 : украины
въезжавший : 22 : въезжавшего
в : 12 : в
россия : 17 : россию
обнаружил : 20 : обнаружили
грамм : 17 : грамм
опий : 17 : опия
чересчур : 9 : чересчур
